player_id,player_name,team,position,games,adot,yprr,racr,target_share,wopr,rush_expl_10p,aypa,epa_per_play
00-0037805,Jeremy Ruckert,NYJ,TE,13,3.4285714285714284,,1.09375,0.042879019908116385,0.08063317050338704,,,
00-0039810,Jermaine Burton,CIN,WR,4,21.142857142857142,,0.3614865,0.019943019943019943,0.07482133238998234,,,
00-0039614,Jermaine Jackson,NO,WR,1,,,,,,0.0,,
00-0036670,Jermar Jefferson,DET,RB,2,0.0,,,0.0017094017094017094,0.002564102564102564,0.0,,
00-0037267,Jerome Ford,CLE,RB,14,-0.3488372093023256,,,0.058503401360544216,0.08571190301385917,0.125,,
00-0036407,Jerry Jeudy,CLE,WR,17,10.885135135135135,,0.7628802,0.20136054421768707,0.5214803973630983,,,
00-0039392,Jha'Quan Jackson,TEN,WR,2,26.0,,0.102564104,0.005128205128205128,0.02046423637523101,0.0,,
00-0031345,Jimmy Garoppolo,LA,QB,1,,,,,,0.0,7.311111111111111,0.04616960949367947
00-0036442,Joe Burrow,CIN,QB,17,,,,,,0.0,7.664764621968616,0.1434012180388229
00-0026158,Joe Flacco,IND,QB,7,,,,,,0.0,6.314606741573034,0.007686845372232159
00-0039398,Joe Milton III,NE,QB,1,,,,,,0.0,9.0,0.406576419698781
00-0033897,Joe Mixon,HOU,RB,14,-0.5192307692307693,,,0.08333333333333333,0.12093810457736254,0.11336032388663968,0.0,-0.7261459827423096
00-0036628,John Bates,WAS,TE,10,4.846153846153846,,1.3333334,0.022452504317789293,0.044725850605709876,,,
00-0037306,John FitzPatrick,GB,TE,1,2.0,,1.0,0.0019801980198019802,0.0033046653207811057,,,
00-0037614,John Metchie III,HOU,WR,10,9.0,,0.7627628,0.05929487179487179,0.1390390169735138,,,
00-0033460,John Ross,PHI,WR,1,23.5,,0.12765957,0.004048582995951417,0.015518754102319841,,,
00-0038920,John Shenker,LV,TE,1,4.0,,1.75,0.0014534883720930232,0.002808739846778037,,,
00-0033246,Johnny Mundt,MIN,TE,13,4.2592592592592595,,1.2347826,0.0451505016722408,0.08513115814896331,,,
00-0039236,Johnny Wilson,PHI,WR,9,9.8,,0.2585034,0.030364372469635626,0.07509005537279222,,,
00-0039062,Jonathan Mingo,DAL,WR,14,11.0,,0.36147186,0.061946902654867256,0.16193444130167498,0.0,,
00-0036223,Jonathan Taylor,IND,RB,14,-0.3225806451612903,,,0.056672760511883,0.08372071815162584,0.10163934426229508,,
00-0035924,Jonathan Ward,PIT,RB,2,,,,,,0.0,,
00-0039344,Jonathon Brooks,CAR,RB,3,-2.6666666666666665,,,0.005128205128205128,0.00643782747658686,0.0,,
00-0033858,Jonnu Smith,MIA,TE,17,4.882882882882883,,1.6309963,0.17370892018779344,0.3627999715611968,0.0,,
00-0038994,Jordan Addison,MIN,WR,15,12.84,,0.6814642,0.16722408026755853,0.4451712532386333,0.0,,
00-0034364,Jordan Akins,CLE,TE,16,5.844827586206897,,1.1504425,0.07891156462585033,0.16454364639155716,,,
00-0036264,Jordan Love,GB,QB,15,,,,,,0.0,7.678733031674208,0.12028905600983633
00-0037525,Jordan Mason,SF,RB,12,3.7142857142857144,,1.7307693,0.02456140350877193,0.044880974390789086,0.1503267973856209,,
00-0031299,Jordan Matthews,CAR,TE,1,16.0,,0.0,0.0017094017094017094,0.005073062995544228,,,
00-0038678,Jordan Mims,NO,RB,7,0.16666666666666666,,23.666666,0.030405405405405407,0.04608214873745031,0.0,,
00-0039751,Jordan Whittington,LA,WR,6,5.392857142857143,,1.9403974,0.047217537942664416,0.0964567623781213,0.0,,
00-0035547,Joseph Fortson,KC,TE,3,1.3333333333333333,,1.25,0.004665629860031105,0.007734125304527576,,,
00-0034857,Josh Allen,BUF,QB,16,,,,,,0.034482758620689655,8.090543259557345,0.262097088144099
00-0038997,Josh Downs,IND,WR,14,6.859813084112149,,1.0940055,0.1956124314442413,0.3879888666831161,0.0,,
00-0035700,Josh Jacobs,GB,RB,17,-0.9534883720930233,,,0.08514851485148515,0.12086822229557403,0.10891089108910891,,
00-0026300,Josh Johnson,BAL,QB,4,,,,,,0.0,4.25,-0.45243391394615173
00-0035249,Josh Oliver,MIN,TE,11,7.785714285714286,,1.1834862,0.046822742474916385,0.10322870813733757,,,
00-0036988,Josh Palmer,LAC,WR,15,14.791044776119403,,0.580222,0.12028725314183124,0.33942698490683865,,,
00-0033943,Josh Reynolds,JAX,WR,8,11.25,,0.7185185,0.041025641025641026,0.1027508489214457,,,
00-0038589,Josh Whyle,TEN,TE,14,5.5,,1.1866028,0.06495726495726496,0.1316581203005253,,,
00-0033949,Joshua Dobbs,SF,QB,2,,,,,,0.0,6.479166666666667,0.12677642703056335
00-0036370,Joshua Kelley,TEN,RB,1,,,,,,0.0,,
00-0036332,Josiah Deguara,JAX,TE,3,0.6666666666666666,,7.0,0.005128205128205128,0.00799758460936853,,,
00-0033857,JuJu Smith-Schuster,KC,WR,11,5.5,,1.6153846,0.04043545878693624,0.0869537656272227,,,
00-0038720,Julian Hill,MIA,TE,11,6.0,,0.8333333,0.03129890453834116,0.0695837645533499,,,
00-0037594,Julius Chestnut,TEN,RB,7,0.3333333333333333,,11.0,0.005128205128205128,0.007856050382654828,0.045454545454545456,,
00-0034975,Justice Hill,BAL,RB,15,-0.6666666666666666,,,0.10139165009940358,0.1463690707219346,0.1276595744680851,,
00-0036945,Justin Fields,PIT,QB,10,,,,,,0.09302325581395349,6.559322033898305,0.009704086066639356
00-0036355,Justin Herbert,LAC,QB,17,,,,,,0.02631578947368421,7.697247706422019,0.12019054167861239
00-0036322,Justin Jefferson,MIN,WR,17,10.922077922077921,,0.911415,0.25752508361204013,0.6408606129745177,,22.0,3.0509066581726074
00-0034386,Justin Watson,KC,WR,15,15.1875,,0.5946502,0.049766718506998445,0.1640352594259182,,,
00-0037216,Justyn Ross,KC,WR,1,10.0,,0.0,0.0015552099533437014,0.004172016245321679,,,
00-0036040,Juwan Johnson,NO,TE,15,8.044117647058824,,1.0018282,0.11486486486486487,0.25873070049124797,,,
00-0036345,K.J. Osborn,WAS,WR,6,5.944444444444445,,0.53271025,0.031088082901554404,0.0653946495233731,,,
00-0037801,KaVontae Turpin,DAL,WR,15,8.442307692307692,,0.9567198,0.07669616519174041,0.18062256691993867,0.375,,
00-0036913,Kadarius Toney,CLE,WR,2,-5.0,,,0.0013605442176870747,0.001359749964809007,0.0,,
00-0032464,Kalif Raymond,DET,WR,10,8.0,,1.2215909,0.037606837606837605,0.09174148702086546,0.5,,
00-0039589,Kameron Johnson,TB,WR,3,3.0,,0.0,0.0016286644951140066,0.002972230574583289,0.5,,
00-0033923,Kareem Hunt,KC,RB,13,-1.8125,,,0.049766718506998445,0.06398271085349713,0.055,,
00-0038608,Kayshon Boutte,NE,WR,15,14.652173913043478,,0.5825915,0.11794871794871795,0.3609324352099345,,,
00-0036450,Ke'Shawn Vaughn,SF,RB,1,,,,,,0.0,,
00-0038454,Keaton Mitchell,BAL,RB,2,-5.0,,,0.0019880715705765406,0.0021411655625795008,0.0,,
00-0030279,Keenan Allen,CHI,WR,15,9.065040650406504,,0.6672646,0.19099378881987578,0.45863448527658945,,-45.0,-5.911163330078125
00-0038551,Kendre Miller,NO,RB,6,0.375,,11.0,0.013513513513513514,0.02074431089961247,0.15384615384615385,,
00-0037422,Kendric Pryor,CIN,WR,1,9.0,,1.0,0.0014245014245014246,0.0035021617186741317,,,
00-0033307,Kendrick Bourne,NE,WR,12,9.289473684210526,,0.8640227,0.06495726495726496,0.1616844667456089,0.0,0.0,-1.3199654817581177
00-0036842,Kene Nwangwu,NYJ,RB,1,,,,,,,,
00-0036919,Kenneth Gainwell,PHI,RB,16,1.0454545454545454,,5.0434785,0.044534412955465584,0.07142407139423887,0.14666666666666667,,
00-0038134,Kenneth Walker III,SEA,RB,11,-1.1886792452830188,,,0.08153846153846153,0.11158819741354538,0.08552631578947369,,
00-0038636,Kenny McIntosh,SEA,RB,7,1.25,,4.4,0.006153846153846154,0.010081522798416419,0.12903225806451613,,
00-0038102,Kenny Pickett,PHI,QB,5,,,,,,0.0,6.217391304347826,0.07472197905830714
00-0036510,Kenny Yeboah,NYJ,TE,6,4.625,,1.2702702,0.01225114854517611,0.024664656610683088,,,
00-0039901,Keon Coleman,BUF,WR,13,14.89655172413793,,0.6435185,0.10841121495327102,0.3045220258915536,0.0,,
00-0037231,Kevin Austin Jr.,NO,WR,8,11.772727272727273,,0.58301157,0.037162162162162164,0.09666874974563315,0.0,,
00-0034854,KhaDarel Hodge,ATL,WR,6,10.5,,1.0396825,0.02023608768971332,0.050103346407287835,,,
00-0036906,Khalil Herbert,CIN,RB,8,-1.9166666666666667,,,0.017094017094017096,0.02215164563714121,0.05555555555555555,,
00-0037261,Khalil Shakir,BUF,WR,15,5.48,,1.4981751,0.18691588785046728,0.37037852176717506,0.0,,
00-0039391,Kimani Vidal,LAC,RB,9,5.333333333333333,,1.2916666,0.01615798922800718,0.031938106975312505,0.046511627906976744,,
00-0029604,Kirk Cousins,ATL,QB,14,,,,,,0.0,6.585774058577406,0.033958287418636816
00-0036183,Kristian Wilkerson,LV,WR,1,5.333333333333333,,1.125,0.00436046511627907,0.009054726828972614,,,
00-0034577,Kyle Allen,PIT,QB,1,,,,,,,19.0,1.4325529336929321
00-0029892,Kyle Juszczyk,SF,RB,14,6.225806451612903,,1.0362694,0.054385964912280704,0.11141552007512043,0.2,,
00-0036970,Kyle Pitts,ATL,TE,17,8.41891891891892,,0.96629214,0.12478920741989882,0.28483270740679906,,,
00-0036928,Kyle Trask,TB,QB,3,,,,,,0.0,5.0,0.29781094193458557
00-0036876,Kylen Granson,IND,TE,14,11.35483870967742,,0.51704544,0.056672760511883,0.13036161462284312,,,
00-0035228,Kyler Murray,ARI,QB,17,,,,,,0.18421052631578946,6.624561403508772,0.07807556955437911
00-0037840,Kyren Williams,LA,RB,16,-0.8,,,0.06745362563237774,0.09574881851010364,0.08544303797468354,,
00-0039915,Ladd McConkey,LAC,WR,16,9.858407079646017,,1.0368043,0.20287253141831238,0.4830390167300534,,,
00-0034796,Lamar Jackson,BAL,QB,17,,,,,,0.21505376344086022,9.740890688259109,0.3412676977242535
00-0036268,Laviska Shenault Jr.,LAC,WR,6,-2.0,,,0.008976660682226212,0.011860590448178339,0.0,,
00-0035406,Lil'Jordan Humphrey,DEN,WR,14,6.511111111111111,,1.0,0.07563025210084033,0.1631063923803197,,,
