season,week,def_team,epa_per_play_allowed,plays_allowed_per_game,rz_td_rate_allowed,home_def_adj,away_def_adj
2024,4,CAR,0.20065689,83.0,1.0,-0.005817307692307692,0.005817307692307692
2024,5,CAR,0.13799147,89.0,0.8333333134651184,-0.005817307692307692,0.005817307692307692
2024,6,CAR,0.20143546,82.0,0.5,-0.005817307692307692,0.005817307692307692
2024,7,CAR,0.22045977,84.0,0.5,-0.005817307692307692,0.005817307692307692
2024,8,CAR,0.059443567,86.0,0.800000011920929,-0.005817307692307692,0.005817307692307692
2024,9,CAR,0.06446287,96.0,0.5,-0.005817307692307692,0.005817307692307692
2024,10,CAR,-0.06393264,93.0,0.5,-0.005817307692307692,0.005817307692307692
2024,11,CAR,0.0,60.0,0.55,-0.005817307692307692,0.005817307692307692
2024,12,CAR,0.24447225,89.0,0.5,-0.005817307692307692,0.005817307692307692
2024,13,CAR,-0.026205165,104.0,0.3333333432674408,-0.005817307692307692,0.005817307692307692
2024,14,CAR,0.036898367,74.0,1.0,-0.005817307692307692,0.005817307692307692
2024,15,CAR,0.18375286,88.0,0.6000000238418579,-0.005817307692307692,0.005817307692307692
2024,16,CAR,0.1197172,90.0,0.75,-0.005817307692307692,0.005817307692307692
2024,17,CAR,0.3195163,91.0,0.625,-0.005817307692307692,0.005817307692307692
2024,1,CHI,-0.2782829,83.0,0.6666666865348816,-0.013509615384615386,0.013509615384615386
2024,2,CHI,-0.061328046,82.0,0.5,-0.013509615384615386,0.013509615384615386
2024,3,CHI,-0.123894915,72.0,0.75,-0.013509615384615386,0.013509615384615386
2024,4,CHI,0.043266173,76.0,0.25,-0.013509615384615386,0.013509615384615386
2024,5,CHI,-0.19473453,76.0,0.3333333432674408,-0.013509615384615386,0.013509615384615386
2024,6,CHI,0.012299523,78.0,0.6666666865348816,-0.013509615384615386,0.013509615384615386
2024,7,CHI,0.0,60.0,0.55,-0.013509615384615386,0.013509615384615386
2024,8,CHI,-0.0056688446,91.0,0.0,-0.013509615384615386,0.013509615384615386
2024,9,CHI,0.042803954,73.0,0.6000000238418579,-0.013509615384615386,0.013509615384615386
2024,10,CHI,-0.03633056,78.0,0.20000000298023224,-0.013509615384615386,0.013509615384615386
2024,11,CHI,0.26222137,56.0,0.6000000238418579,-0.013509615384615386,0.013509615384615386
2024,12,CHI,0.14097074,88.0,0.4285714328289032,-0.013509615384615386,0.013509615384615386
2024,13,CHI,0.057995886,84.0,0.4000000059604645,-0.013509615384615386,0.013509615384615386
2024,14,CHI,0.30689824,77.0,0.8333333134651184,-0.013509615384615386,0.013509615384615386
2024,15,CHI,0.04648152,95.0,0.75,-0.013509615384615386,0.013509615384615386
2024,16,CHI,0.2796775,81.0,0.5714285969734192,-0.013509615384615386,0.013509615384615386
2024,17,CHI,-0.105811365,64.0,0.0,-0.013509615384615386,0.013509615384615386
2024,1,CIN,0.07777722,81.0,0.25,-0.008798076923076924,0.008798076923076924
2024,2,CIN,-0.0062131975,78.0,0.6666666865348816,-0.008798076923076924,0.008798076923076924
2024,3,CIN,0.4257875,75.0,1.0,-0.008798076923076924,0.008798076923076924
2024,4,CIN,0.044006553,87.0,0.75,-0.008798076923076924,0.008798076923076924
2024,5,CIN,0.2515399,95.0,0.8333333134651184,-0.008798076923076924,0.008798076923076924
2024,6,CIN,-0.13232732,91.0,0.5,-0.008798076923076924,0.008798076923076924
2024,7,CIN,-0.18734027,98.0,1.0,-0.008798076923076924,0.008798076923076924
2024,8,CIN,0.311279,76.0,0.6666666865348816,-0.008798076923076924,0.008798076923076924
2024,9,CIN,-0.099376485,83.0,1.0,-0.008798076923076924,0.008798076923076924
2024,10,CIN,0.20600474,81.0,1.0,-0.008798076923076924,0.008798076923076924
2024,11,CIN,0.04144551,87.0,0.800000011920929,-0.008798076923076924,0.008798076923076924
2024,12,CIN,0.0,60.0,0.55,-0.008798076923076924,0.008798076923076924
2024,13,CIN,0.19237944,90.0,0.6666666865348816,-0.008798076923076924,0.008798076923076924
2024,14,CIN,0.028013464,77.0,0.5,-0.008798076923076924,0.008798076923076924
2024,15,CIN,-0.033141404,85.0,1.0,-0.008798076923076924,0.008798076923076924
2024,16,CIN,-0.2183655,77.0,0.3333333432674408,-0.008798076923076924,0.008798076923076924
2024,17,CIN,0.116942525,74.0,0.75,-0.008798076923076924,0.008798076923076924
2024,1,CLE,-0.03779791,84.0,0.6666666865348816,-0.012836538461538462,0.012836538461538462
2024,2,CLE,-0.034532085,74.0,0.25,-0.012836538461538462,0.012836538461538462
2024,3,CLE,-0.14513077,90.0,0.75,-0.012836538461538462,0.012836538461538462
2024,4,CLE,-0.07480184,75.0,0.6666666865348816,-0.012836538461538462,0.012836538461538462
2024,5,CLE,0.048145123,82.0,0.5714285969734192,-0.012836538461538462,0.012836538461538462
2024,6,CLE,-0.012195139,79.0,0.6666666865348816,-0.012836538461538462,0.012836538461538462
2024,7,CLE,-0.10292532,73.0,1.0,-0.012836538461538462,0.012836538461538462
2024,8,CLE,0.053695325,88.0,0.6000000238418579,-0.012836538461538462,0.012836538461538462
2024,9,CLE,-0.0637932,75.0,1.0,-0.012836538461538462,0.012836538461538462
2024,10,CLE,0.0,60.0,0.55,-0.012836538461538462,0.012836538461538462
2024,11,CLE,0.21567251,73.0,0.8333333134651184,-0.012836538461538462,0.012836538461538462
2024,12,CLE,-0.053751435,84.0,0.6666666865348816,-0.012836538461538462,0.012836538461538462
2024,13,CLE,0.089346744,85.0,0.6000000238418579,-0.012836538461538462,0.012836538461538462
2024,14,CLE,-0.028630942,81.0,0.6000000238418579,-0.012836538461538462,0.012836538461538462
2024,15,CLE,-0.07936685,92.0,0.6000000238418579,-0.012836538461538462,0.012836538461538462
2024,16,CLE,0.034162,70.0,0.75,-0.012836538461538462,0.012836538461538462
2024,17,CLE,-0.07739308,75.0,1.0,-0.012836538461538462,0.012836538461538462
2024,1,DAL,-0.24428348,98.0,1.0,-0.01764423076923077,0.01764423076923077
2024,2,DAL,0.33751637,72.0,0.8571428656578064,-0.01764423076923077,0.01764423076923077
2024,3,DAL,0.1252546,81.0,1.0,-0.01764423076923077,0.01764423076923077
2024,4,DAL,0.018299824,83.0,0.0,-0.01764423076923077,0.01764423076923077
2024,5,DAL,0.03136882,77.0,1.0,-0.01764423076923077,0.01764423076923077
2024,6,DAL,0.3009705,85.0,0.7142857313156128,-0.01764423076923077,0.01764423076923077
2024,7,DAL,0.0,60.0,0.55,-0.01764423076923077,0.01764423076923077
2024,8,DAL,0.107843414,84.0,0.75,-0.01764423076923077,0.01764423076923077
2024,9,DAL,0.018039197,74.0,1.0,-0.01764423076923077,0.01764423076923077
2024,10,DAL,-0.022056883,85.0,0.5714285969734192,-0.01764423076923077,0.01764423076923077
2024,11,DAL,0.109860726,81.0,0.6000000238418579,-0.01764423076923077,0.01764423076923077
2024,12,DAL,-0.06593464,90.0,1.0,-0.01764423076923077,0.01764423076923077
2024,13,DAL,-0.14352834,84.0,1.0,-0.01764423076923077,0.01764423076923077
2024,14,DAL,0.12509492,87.0,0.6000000238418579,-0.01764423076923077,0.01764423076923077
2024,15,DAL,-0.08989302,76.0,0.6666666865348816,-0.01764423076923077,0.01764423076923077
2024,16,DAL,0.0259905,86.0,1.0,-0.01764423076923077,0.01764423076923077
2024,17,DAL,0.22368927,81.0,0.6666666865348816,-0.01764423076923077,0.01764423076923077
2024,1,DEN,-0.047614582,85.0,0.75,-0.025288461538461537,0.025288461538461537
2024,2,DEN,-0.009450879,82.0,0.5,-0.025288461538461537,0.025288461538461537
2024,3,DEN,-0.26794052,70.0,0.5,-0.025288461538461537,0.025288461538461537
2024,4,DEN,-0.22045116,95.0,0.0,-0.025288461538461537,0.025288461538461537
2024,5,DEN,-0.17350464,85.0,1.0,-0.025288461538461537,0.025288461538461537
2024,6,DEN,0.087366134,95.0,0.5,-0.025288461538461537,0.025288461538461537
2024,7,DEN,-0.28933975,88.0,0.5,-0.025288461538461537,0.025288461538461537
2024,8,DEN,-0.122629814,78.0,0.6666666865348816,-0.025288461538461537,0.025288461538461537
2024,9,DEN,0.33805686,72.0,0.7142857313156128,-0.025288461538461537,0.025288461538461537
2024,10,DEN,0.019285752,80.0,0.25,-0.025288461538461537,0.025288461538461537
2024,11,DEN,-0.1697272,76.0,0.0,-0.025288461538461537,0.025288461538461537
2024,12,DEN,-0.08512893,97.0,0.20000000298023224,-0.025288461538461537,0.025288461538461537
2024,13,DEN,-0.019530011,109.0,0.800000011920929,-0.025288461538461537,0.025288461538461537
2024,14,DEN,0.0,60.0,0.55,-0.025288461538461537,0.025288461538461537
2024,15,DEN,-0.38198853,92.0,0.3333333432674408,-0.025288461538461537,0.025288461538461537
2024,16,DEN,0.21201606,80.0,0.800000011920929,-0.025288461538461537,0.025288461538461537
2024,17,DEN,0.11815226,106.0,0.5714285969734192,-0.025288461538461537,0.025288461538461537
2024,1,DET,0.052882057,93.0,0.4000000059604645,-0.030048076923076924,0.030048076923076924
2024,2,DET,-0.018734455,63.0,0.6666666865348816,-0.030048076923076924,0.030048076923076924
2024,3,DET,-0.1360781,72.0,1.0,-0.030048076923076924,0.030048076923076924
2024,4,DET,0.08059311,107.0,0.6666666865348816,-0.030048076923076924,0.030048076923076924
2024,5,DET,0.0,60.0,0.55,-0.030048076923076924,0.030048076923076924
2024,6,DET,-0.27449358,85.0,0.0,-0.030048076923076924,0.030048076923076924
2024,7,DET,0.007993272,76.0,1.0,-0.030048076923076924,0.030048076923076924
2024,8,DET,-0.323014,96.0,0.5,-0.030048076923076924,0.030048076923076924
2024,9,DET,-0.055850316,80.0,0.25,-0.030048076923076924,0.030048076923076924
2024,10,DET,-0.12431239,86.0,0.5,-0.030048076923076924,0.030048076923076924
2024,11,DET,-0.19332418,67.0,0.0,-0.030048076923076924,0.030048076923076924
2024,12,DET,-0.1726688,69.0,0.0,-0.030048076923076924,0.030048076923076924
2024,13,DET,0.013213506,80.0,1.0,-0.030048076923076924,0.030048076923076924
2024,14,DET,0.115218595,69.0,0.800000011920929,-0.030048076923076924,0.030048076923076924
2024,15,DET,0.36460823,90.0,0.75,-0.030048076923076924,0.030048076923076924
2024,16,DET,-0.00326894,83.0,0.5,-0.030048076923076924,0.030048076923076924
2024,17,DET,0.2017392,83.0,1.0,-0.030048076923076924,0.030048076923076924
2024,1,GB,0.10358545,95.0,0.5714285969734192,-0.012884615384615385,0.012884615384615385
2024,2,GB,-0.09798983,69.0,0.5,-0.012884615384615385,0.012884615384615385
2024,3,GB,-0.24747321,68.0,1.0,-0.012884615384615385,0.012884615384615385
2024,4,GB,0.00052037905,88.0,0.5714285969734192,-0.012884615384615385,0.012884615384615385
2024,5,GB,-0.07418863,91.0,0.6666666865348816,-0.012884615384615385,0.012884615384615385
2024,6,GB,-0.13058238,75.0,0.3333333432674408,-0.012884615384615385,0.012884615384615385
2024,7,GB,0.040083606,79.0,0.5,-0.012884615384615385,0.012884615384615385
2024,8,GB,0.062283255,77.0,1.0,-0.012884615384615385,0.012884615384615385
2024,9,GB,0.107803315,72.0,0.5,-0.012884615384615385,0.012884615384615385
2024,10,GB,0.0,60.0,0.55,-0.012884615384615385,0.012884615384615385
2024,11,GB,0.13569161,85.0,0.6666666865348816,-0.012884615384615385,0.012884615384615385
2024,12,GB,-0.27922094,67.0,1.0,-0.012884615384615385,0.012884615384615385
2024,13,GB,0.078419134,89.0,0.5,-0.012884615384615385,0.012884615384615385
2024,14,GB,0.076872945,94.0,0.800000011920929,-0.012884615384615385,0.012884615384615385
2024,15,GB,-0.19319908,76.0,0.5,-0.012884615384615385,0.012884615384615385
2024,16,GB,-0.2684879,70.0,0.55,-0.012884615384615385,0.012884615384615385
2024,17,GB,-0.026963156,91.0,0.6000000238418579,-0.012884615384615385,0.012884615384615385
2024,1,HOU,0.09467651,59.0,0.800000011920929,-0.007067307692307692,0.007067307692307692
2024,2,HOU,-0.12987168,90.0,1.0,-0.007067307692307692,0.007067307692307692
2024,3,HOU,0.11993146,79.0,0.800000011920929,-0.007067307692307692,0.007067307692307692
2024,4,HOU,0.11422097,76.0,0.6666666865348816,-0.007067307692307692,0.007067307692307692
2024,5,HOU,-0.025359148,82.0,0.5,-0.007067307692307692,0.007067307692307692
2024,6,HOU,-0.22134337,86.0,0.75,-0.007067307692307692,0.007067307692307692
2024,7,HOU,0.030290967,75.0,1.0,-0.007067307692307692,0.007067307692307692
2024,8,HOU,-0.033419788,85.0,0.6666666865348816,-0.007067307692307692,0.007067307692307692
2024,9,HOU,0.117059186,73.0,0.75,-0.007067307692307692,0.007067307692307692
2024,10,HOU,-0.07846921,81.0,0.75,-0.007067307692307692,0.007067307692307692
2024,11,HOU,-0.22498912,99.0,0.5,-0.007067307692307692,0.007067307692307692
2024,12,HOU,-0.0059414823,89.0,0.6000000238418579,-0.007067307692307692,0.007067307692307692
2024,13,HOU,0.007235452,86.0,0.5,-0.007067307692307692,0.007067307692307692
2024,14,HOU,0.0,60.0,0.55,-0.007067307692307692,0.007067307692307692
2024,15,HOU,-0.16859272,83.0,0.3333333432674408,-0.007067307692307692,0.007067307692307692
2024,16,HOU,0.105530486,86.0,0.6000000238418579,-0.007067307692307692,0.007067307692307692
2024,17,HOU,0.2562036,76.0,1.0,-0.007067307692307692,0.007067307692307692
2024,1,IND,0.12762077,96.0,1.0,-0.0047115384615384615,0.0047115384615384615
2024,2,IND,0.00093976886,83.0,0.3333333432674408,-0.0047115384615384615,0.0047115384615384615
2024,3,IND,-0.12408947,104.0,0.6666666865348816,-0.0047115384615384615,0.0047115384615384615
2024,4,IND,-0.018514358,85.0,0.75,-0.0047115384615384615,0.0047115384615384615
